"date....row.names.as.matrix.st.." "X6283.TW.Open" "X6283.TW.High" "X6283.TW.Low" "X6283.TW.Close" "X6283.TW.Volume" "X6283.TW.Adjusted" "mm" "ss1" "ss2" "ss3" "ss4"
"2014-01-08" 11.39639 11.39639 11.10039 11.14973 269900 20.4725 1.95184865485695 -19.1793950611851 -8.61669579951468 12.5203931092286 23.083092370899
"2014-01-09" 11.14973 11.29776 11.05105 11.05105 368100 20.2913 1.97476609359123 -19.1564776224508 -8.5937783607804 12.5433105479629 23.1060098096333
"2014-01-10" 10.95236 11.79108 10.95236 11.79108 964200 21.6501 1.99768353232551 -19.1335601837166 -8.57086092204612 12.5662279866971 23.1289272483676
"2014-01-13" 12.18576 12.58045 11.98845 12.58045 2539000 23.0995 2.02060097105979 -19.1106427449823 -8.54794348331184 12.5891454254314 23.1518446871019
"2014-01-14" 12.58045 12.72848 12.23511 12.72848 1027700 23.3713 2.04351840979406 -19.087725306248 -8.52502604457756 12.6120628641657 23.1747621258361
"2014-01-15" 12.77776 12.82711 12.38313 12.43242 809100 22.8277 2.06643584852834 -19.0648078675137 -8.50210860584328 12.6349803029 23.1976795645704
"2014-01-16" 12.53111 12.62979 12.38313 12.38313 430500 22.7372 2.08935328726262 -19.0418904287794 -8.47919116710901 12.6578977416342 23.2205970033047
"2014-01-17" 12.38313 12.48176 11.9391 12.18576 682200 22.3748 2.1122707259969 -19.0189729900452 -8.45627372837473 12.6808151803685 23.243514442039
"2014-01-20" 11.9391 12.33379 11.9391 12.03779 380300 22.1031 2.13518816473118 -18.9960555513109 -8.43335628964045 12.7037326191028 23.2664318807732
"2014-01-21" 12.08708 12.23511 11.98845 12.03779 219600 22.1031 2.15810560346546 -18.9731381125766 -8.41043885090617 12.7266500578371 23.2893493195075
"2014-01-22" 12.03779 12.13642 11.9391 11.98845 325600 22.0125 2.18102304219974 -18.9502206738423 -8.38752141217189 12.7495674965714 23.3122667582418
"2014-01-23" 11.98845 12.13642 11.88976 11.9391 272100 21.9219 2.20394048093401 -18.927303235108 -8.36460397343761 12.7724849353056 23.3351841969761
"2014-01-24" 11.79108 12.03779 11.79108 11.84042 151200 21.7407 2.22685791966829 -18.9043857963738 -8.34168653470334 12.7954023740399 23.3581016357104
"2014-01-27" 11.74173 11.74173 11.49508 11.54442 259900 21.1972 2.24977535840257 -18.8814683576395 -8.31876909596906 12.8183198127742 23.3810190744446
"2014-01-28" 11.54442 11.54442 11.54442 11.54442 0 21.1972 2.27269279713685 -18.8585509189052 -8.29585165723478 12.8412372515085 23.4039365131789
"2014-01-29" 11.54442 11.54442 11.54442 11.54442 0 21.1972 2.29561023587113 -18.8356334801709 -8.2729342185005 12.8641546902428 23.4268539519132
"2014-01-30" 11.54442 11.54442 11.54442 11.54442 0 21.1972 2.31852767460541 -18.8127160414367 -8.25001677976622 12.887072128977 23.4497713906475
"2014-01-31" 11.54442 11.54442 11.54442 11.54442 0 21.1972 2.34144511333969 -18.7897986027024 -8.22709934103194 12.9099895677113 23.4726888293818
"2014-02-03" 11.54442 11.54442 11.54442 11.54442 0 21.1972 2.36436255207396 -18.7668811639681 -8.20418190229766 12.9329070064456 23.495606268116
"2014-02-05" 11.39639 11.44573 11.19908 11.34705 168900 20.8348 2.38727999080824 -18.7439637252338 -8.18126446356338 12.9558244451799 23.5185237068503
"2014-02-06" 11.74173 11.79108 11.49508 11.69245 103700 21.469 2.41019742954252 -18.7210462864995 -8.15834702482911 12.9787418839141 23.5414411455846
"2014-02-07" 11.79108 12.18576 11.79108 11.9391 407300 21.9219 2.4331148682768 -18.6981288477653 -8.13542958609483 13.0016593226484 23.5643585843189
"2014-02-10" 12.08708 12.08708 11.34705 11.54442 295200 21.1972 2.45603230701108 -18.675211409031 -8.11251214736055 13.0245767613827 23.5872760230531
"2014-02-11" 11.49508 11.54442 11.24842 11.29776 275400 20.7443 2.47894974574536 -18.6522939702967 -8.08959470862627 13.047494200117 23.6101934617874
"2014-02-12" 11.29776 11.54442 11.29776 11.34705 325100 20.8348 2.50186718447964 -18.6293765315624 -8.06667726989199 13.0704116388513 23.6331109005217
"2014-02-13" 11.44573 11.44573 11.34705 11.39639 190900 20.9254 2.52478462321391 -18.6064590928281 -8.04375983115771 13.0933290775855 23.656028339256
"2014-02-14" 11.49508 11.49508 11.29776 11.34705 298600 20.8348 2.54770206194819 -18.5835416540939 -8.02084239242344 13.1162465163198 23.6789457779903
"2014-02-17" 11.34705 11.39639 11.10039 11.39639 633600 20.9254 2.57061950068247 -18.5606242153596 -7.99792495368916 13.1391639550541 23.7018632167245
"2014-02-18" 11.24842 11.34705 11.19908 11.24842 189300 20.6537 2.59353693941675 -18.5377067766253 -7.97500751495488 13.1620813937884 23.7247806554588
"2014-02-19" 11.24842 11.34705 11.05105 11.10039 383600 20.3819 2.61645437815103 -18.514789337891 -7.9520900762206 13.1849988325227 23.7476980941931
"2014-02-20" 10.95236 11.49508 10.95236 11.14973 575100 20.4725 2.63937181688531 -18.4918718991568 -7.92917263748632 13.2079162712569 23.7706155329274
"2014-02-21" 11.25005 11.40004 11.25005 11.30005 484700 20.7485 2.66228925561959 -18.4689544604225 -7.90625519875204 13.2308337099912 23.7935329716617
"2014-02-24" 11.35004 11.40004 11.20006 11.20006 420900 20.5649 2.68520669435386 -18.4460370216882 -7.88333776001776 13.2537511487255 23.8164504103959
