"Code" "Name" "Close" "Price" "Rsquared" "Slope" "Sd"
"1436.TW" "華友聯" "39.95" "High" "0.8822795" "-0.01764687" "1.695192"
"1437.TW" "勤益控" "17.25" "High" "0.3118414" "-0.007449986" "2.910456"
"1438.TW" "裕豐" "4.86" "Normally" "0.4447818" "-0.002541205" "0.7466658"
"1439.TW" "中和" "19.1" "exHigh" "0.002626859" "0.0002670576" "1.368496"
"1440.TW" "南紡" "13.7" "High" "0.7398034" "-0.01005765" "1.568618"
"1441.TW" "大東" "6.6" "Normally" "0.7814348" "-0.004211143" "0.5856961"
"1442.TW" "名軒" "17.6" "High" "0.8587434" "-0.02890706" "3.083223"
"1443.TW" "立益" "5.38" "High" "0.7846282" "-0.00486204" "0.6698989"
"1444.TW" "力麗" "8.47" "Normally" "0.6418959" "-0.002856254" "0.5610447"
"1445.TW" "大宇" "9.03" "Normally" "0.008219548" "0.000254029" "0.73383"
"1446.TW" "宏和" "17.7" "Normally" "0.867288" "-0.01974926" "2.031667"
"1447.TW" "力鵬" "8.52" "High" "0.8215776" "-0.008843278" "1.083782"
"1449.TW" "佳和" "5.65" "Normally" "0.3982889" "0.004728732" "1.528509"
"1451.TW" "年興" "24.55" "High" "0.529345" "-0.008861724" "2.197497"
"1452.TW" "宏益" "20.6" "Low" "0.4096096" "0.01809777" "5.713969"
"1453.TW" "大將" "7.94" "Normally" "0.5929607" "-0.002995623" "0.6527106"
"1454.TW" "台富" "8.5" "Normally" "0.1100254" "0.001641817" "1.227991"
"1455.TW" "集盛" "10.3" "High" "0.07928479" "-0.001346017" "1.206276"
"1456.TW" "怡華" "14.05" "exHigh" "0.1696215" "0.003665602" "2.132903"
"1457.TW" "宜進" "10.4" "Low" "0.4002352" "0.004697379" "1.512226"
"1459.TW" "聯發" "8.8" "Normally" "0.0015462" "-0.0002621559" "1.751939"
"1460.TW" "宏遠" "17" "Normally" "0.4777847" "0.007522664" "2.068276"
"1463.TW" "強盛" "21.1" "exHigh" "0.2607126" "0.003216768" "1.424537"
"1464.TW" "得力" "25.6" "Low" "0.7139491" "0.02925541" "4.869928"
"1465.TW" "偉全" "12.7" "Normally" "0.3373999" "-0.005502852" "2.028007"
"1466.TW" "聚隆" "13.9" "Normally" "0.6704012" "-0.01054191" "1.943896"
"1467.TW" "南緯" "10.7" "Low" "0.1780768" "-0.00214127" "1.209794"
"1468.TW" "昶和" "10.1" "Normally" "0.1059253" "-0.0008281731" "0.6327562"
"1469.TW" "理隆" "13.8" "Normally" "0.7054017" "0.003326459" "0.5653368"
"1470.TW" "大統染" "18.9" "Normally" "0.3804793" "0.00338201" "1.134921"
"1471.TW" "首利" "4.72" "High" "0.8046623" "-0.00925578" "1.199299"
"1472.TW" "三洋紡" "10.9" "Normally" "0.602883" "-0.03527138" "7.528241"
"1473.TW" "台南" "29.4" "Normally" "0.004581959" "0.001108758" "4.297761"
"1474.TW" "弘裕" "11.2" "Normally" "0.4579014" "0.002545964" "0.7285069"
"1475.TW" "本盟" "7.76" "Normally" "0.1999508" "-0.007543739" "3.968366"
"1476.TW" "儒鴻" "325" "Low" "0.1532969" "0.1037914" "64.14878"
"1477.TW" "聚陽" "116" "Low" "0.008785226" "0.01557118" "43.49678"
"1503.TW" "士電" "40.6" "Normally" "0.4056602" "0.003389347" "1.078898"
"1504.TW" "東元" "28.2" "High" "0.5298107" "-0.01003016" "2.484918"
"1506.TW" "正道" "13.9" "Normally" "0.3637654" "-0.00746907" "2.597722"
"1507.TW" "永大" "44.8" "Normally" "0.8264787" "-0.05365087" "6.464956"
"1512.TW" "瑞利" "6.78" "exHigh" "0.5788745" "-0.005669929" "1.271802"
"1513.TW" "中興電" "20.85" "High" "0.2245891" "-0.003212893" "1.569988"
"1514.TW" "亞力" "9.89" "Normally" "2.448611e-05" "1.410088e-05" "0.7493923"
"1515.TW" "力山" "15.15" "High" "0.2021025" "0.002841813" "1.484949"
"1516.TW" "川飛" "19.8" "Low" "0.493316" "0.01544151" "4.115513"
"1517.TW" "利奇" "10.4" "Normally" "0.6872133" "-0.007391932" "1.311489"
"1519.TW" "華城" "18" "High" "0.02765569" "0.0007382188" "1.151148"
"1521.TW" "大億" "80.5" "Normally" "0.3866991" "0.02620074" "8.677448"
"1522.TW" "堤維西" "35.7" "High" "0.7165121" "0.01921475" "3.178474"
"1524.TW" "耿鼎" "10.8" "High" "0.05368126" "0.001577614" "1.741953"
"1525.TW" "江申" "106.5" "Normally" "0.5798586" "0.0755456" "16.91119"
"1526.TW" "日馳" "15" "Normally" "0.5240562" "0.005565951" "1.394943"
"1527.TW" "鑽全" "94" "Normally" "0.8042874" "0.07307254" "9.479517"
"1528.TW" "恩德" "10.05" "High" "0.6729413" "-0.007291714" "1.336848"
"1529.TW" "樂士" "3.3" "Low" "0.2070499" "0.001397351" "0.7191494"
"1530.TW" "亞崴" "30.65" "Normally" "0.3374948" "-0.02154591" "7.938788"
"1531.TW" "高林股" "16.25" "Normally" "0.7235647" "-0.01186614" "1.928838"
"1532.TW" "勤美" "31.45" "Normally" "0.2905349" "-0.01164547" "4.785769"
"1533.TW" "車王電" "42" "Normally" "0.01234439" "-0.005036335" "11.84707"
"1535.TW" "中宇" "48.85" "Normally" "0.8427069" "-0.03921961" "4.456029"
"1536.TW" "和大" "129.5" "Low" "0.8524206" "0.1408917" "15.41699"
"1537.TW" "廣隆" "157" "Normally" "0.8542841" "0.0893759" "9.707359"
"1538.TW" "正峰新" "6.07" "High" "0.7208479" "-0.007910082" "1.294518"
"1539.TW" "巨庭" "27.35" "Low" "0.452506" "0.01765296" "5.1065"
"1540.TW" "喬福" "14" "Normally" "0.4501661" "-0.009622028" "2.796561"
"1541.TW" "錩泰" "62" "Normally" "0.7708377" "0.06048645" "8.673142"
"1558.TW" "伸興" "161" "High" "0.09491554" "-0.01500382" "12.19783"
"1560.TW" "中砂" "64.4" "High" "0.4234837" "-0.03184132" "9.770276"
"1568.TW" "倉佑" "32.45" "Normally" "0.2850928" "0.01344169" "5.603899"
"1582.TW" "信錦" "63.1" "High" "0.006402117" "-0.00226592" "7.423629"
"1583.TW" "程泰" "58.4" "Normally" "0.04588552" "-0.01488711" "17.85258"
"1589.TW" "永冠-KY" "104" "exLow" "0.3334854" "0.1044496" "38.83306"
"1590.TW" "亞德客-KY" "259.5" "High" "0.1034981" "-0.0623232" "48.23781"
"1592.TW" "英瑞-KY" "49.4" "Normally" "0.5297534" "0.04497819" "7.290962"
"1598.TW" "岱宇" "41.5" "Normally" "0.4253389" "0.01725804" "5.281225"
"1603.TW" "華電" "22.8" "exHigh" "0.1042878" "0.002629666" "2.026733"
"1604.TW" "聲寶" "18.15" "High" "0.6155345" "0.006841241" "1.421889"
"1605.TW" "華新" "12.15" "High" "0.005752989" "0.0004037424" "1.395831"
